creation_date,wake_up_date,wake_up_time,last_sleep_state,sleep_deep_duration,sleep_light_duration,sleep_rem_duration,sleep_awake_duration,total_sleep_duration
2023-09-30 07:21:30+01:00,2023-09-30,07:21:30,3,74.5,295.0,81.0,7.5,458.0
2023-10-01 06:30:32+01:00,2023-10-01,06:30:32,3,56.5,298.0,98.0,8.5,461.0
2023-10-02 05:40:27+01:00,2023-10-02,05:40:27,2,48.0,296.0,103.5,9.0,456.5
2023-10-03 05:31:14+01:00,2023-10-03,05:31:14,3,51.0,324.0,96.5,9.0,480.5
2023-10-04 05:30:42+01:00,2023-10-04,05:30:42,3,60.0,293.0,115.5,11.0,479.5
2023-10-05 05:30:39+01:00,2023-10-05,05:30:39,3,36.0,308.5,102.5,2.5,449.5
2023-10-06 05:30:52+01:00,2023-10-06,05:30:52,3,53.0,280.5,99.5,16.5,449.5
2023-10-07 06:02:19+01:00,2023-10-07,06:02:19,3,50.5,295.0,97.0,11.5,454.0
2023-10-08 06:55:12+01:00,2023-10-08,06:55:12,3,30.5,372.0,116.0,8.5,527.0
2023-10-09 05:30:25+01:00,2023-10-09,05:30:25,3,53.5,364.5,101.5,3.5,523.0
2023-10-10 05:30:17+01:00,2023-10-10,05:30:17,3,39.5,327.5,80.0,8.5,455.5
2023-10-11 05:45:23+01:00,2023-10-11,05:45:23,3,39.0,293.5,98.5,7.0,438.0
2023-10-12 06:10:07+01:00,2023-10-12,06:10:07,3,52.5,324.5,84.0,38.0,499.0
2023-10-13 05:30:56+01:00,2023-10-13,05:30:56,3,55.0,278.0,92.0,3.5,428.5
2023-10-14 07:55:24+01:00,2023-10-14,07:55:24,3,45.0,316.5,95.0,4.5,461.0
2023-10-15 06:49:55+01:00,2023-10-15,06:49:55,3,62.0,255.0,84.0,41.5,442.5
2023-10-16 06:18:38+01:00,2023-10-16,06:18:38,3,57.0,316.0,69.0,4.0,446.0
2023-10-17 06:00:22+01:00,2023-10-17,06:00:22,3,54.0,255.0,85.0,5.0,399.0
2023-10-18 05:35:37+01:00,2023-10-18,05:35:37,3,51.0,304.0,70.0,5.5,430.5
2023-10-19 05:40:19+01:00,2023-10-19,05:40:19,3,47.0,317.5,85.0,20.0,469.5
2023-10-20 06:45:59+01:00,2023-10-20,06:45:59,2,59.5,299.0,97.0,10.5,466.0
2023-10-21 07:23:25+01:00,2023-10-21,07:23:25,3,47.5,261.5,67.0,47.0,423.0
2023-10-22 07:34:00+01:00,2023-10-22,07:34:00,3,56.0,272.0,70.5,16.5,415.0
2023-10-23 05:40:52+01:00,2023-10-23,05:40:52,3,72.5,266.0,77.0,7.5,423.0
2023-10-24 05:43:18+01:00,2023-10-24,05:43:18,3,65.5,245.5,85.0,6.0,402.0
2023-10-25 05:46:57+01:00,2023-10-25,05:46:57,3,50.0,321.0,70.0,23.0,464.0
2023-10-26 07:43:07+01:00,2023-10-26,07:43:07,2,73.5,252.0,87.0,2.5,415.0
2023-10-27 05:40:43+01:00,2023-10-27,05:40:43,3,56.0,200.5,67.5,6.5,330.5
